Object,Confidence,Distance,Date,Time
person,0.93,0,2025-04-12,20:56:48
chair,0.29,0,2025-04-12,20:56:48
person,0.91,0,2025-04-12,20:56:49
person,0.48,0,2025-04-12,20:56:49
person,0.36,0,2025-04-12,20:56:49
person,0.9,0,2025-04-12,20:56:49
person,0.55,0,2025-04-12,20:56:49
person,0.34,0,2025-04-12,20:56:49
person,0.92,0,2025-04-12,20:56:49
person,0.47,0,2025-04-12,20:56:49
person,0.41,0,2025-04-12,20:56:49
person,0.9,0,2025-04-12,20:56:49
person,0.49,0,2025-04-12,20:56:49
person,0.4,0,2025-04-12,20:56:49
person,0.88,0,2025-04-12,20:56:49
couch,0.42,0,2025-04-12,20:56:49
person,0.3,0,2025-04-12,20:56:49
person,0.91,0,2025-04-12,20:56:49
couch,0.4,0,2025-04-12,20:56:49
person,0.92,0,2025-04-12,20:56:49
couch,0.34,0,2025-04-12,20:56:49
person,0.29,0,2025-04-12,20:56:49
person,0.93,0,2025-04-12,20:56:50
person,0.41,0,2025-04-12,20:56:50
couch,0.32,0,2025-04-12,20:56:50
person,0.93,0,2025-04-12,20:56:50
person,0.55,0,2025-04-12,20:56:50
couch,0.32,0,2025-04-12,20:56:50
person,0.9,0,2025-04-12,20:56:50
person,0.5,0,2025-04-12,20:56:50
couch,0.33,0,2025-04-12,20:56:50
person,0.9,0,2025-04-12,20:56:50
person,0.37,0,2025-04-12,20:56:50
person,0.9,0,2025-04-12,20:56:50
person,0.41,0,2025-04-12,20:56:50
person,0.3,0,2025-04-12,20:56:50
person,0.88,0,2025-04-12,20:56:50
person,0.47,0,2025-04-12,20:56:50
person,0.86,0,2025-04-12,20:56:50
person,0.44,0,2025-04-12,20:56:50
person,0.91,0,2025-04-12,20:56:50
person,0.87,0,2025-04-12,20:56:51
person,0.37,0,2025-04-12,20:56:51
person,0.86,0,2025-04-12,20:56:51
person,0.88,0,2025-04-12,20:56:51
cell phone,0.26,0,2025-04-12,20:56:51
person,0.87,0,2025-04-12,20:56:51
cell phone,0.27,0,2025-04-12,20:56:51
person,0.88,0,2025-04-12,20:56:51
chair,0.3,0,2025-04-12,20:56:51
couch,0.27,0,2025-04-12,20:56:51
person,0.87,0,2025-04-12,20:56:51
chair,0.28,0,2025-04-12,20:56:51
couch,0.28,0,2025-04-12,20:56:51
person,0.89,0,2025-04-12,20:56:51
person,0.89,0,2025-04-12,20:56:51
couch,0.27,0,2025-04-12,20:56:51
person,0.89,0,2025-04-12,20:56:52
couch,0.28,0,2025-04-12,20:56:52
person,0.89,0,2025-04-12,20:56:52
couch,0.31,0,2025-04-12,20:56:52
person,0.9,0,2025-04-12,20:56:52
chair,0.33,0,2025-04-12,20:56:52
couch,0.32,0,2025-04-12,20:56:52
person,0.91,0,2025-04-12,20:56:52
person,0.9,0,2025-04-12,20:56:52
person,0.3,0,2025-04-12,20:56:52
person,0.87,0,2025-04-12,20:56:52
person,0.91,0,2025-04-12,20:56:52
person,0.92,0,2025-04-12,20:56:52
person,0.91,0,2025-04-12,20:56:53
person,0.85,0,2025-04-12,20:56:53
cell phone,0.26,0,2025-04-12,20:56:53
person,0.79,0,2025-04-12,20:56:53
person,0.63,0,2025-04-12,20:56:53
remote,0.38,0,2025-04-12,20:56:53
person,0.3,0,2025-04-12,20:56:53
cell phone,0.3,0,2025-04-12,20:56:53
person,0.73,0,2025-04-12,20:56:53
cell phone,0.68,0,2025-04-12,20:56:53
person,0.32,0,2025-04-12,20:56:53
person,0.32,0,2025-04-12,20:56:53
cell phone,0.71,0,2025-04-12,20:56:53
person,0.63,0,2025-04-12,20:56:53
cell phone,0.42,0,2025-04-12,20:56:53
cell phone,0.78,0,2025-04-12,20:56:53
person,0.63,0,2025-04-12,20:56:53
couch,0.32,0,2025-04-12,20:56:53
cell phone,0.84,0,2025-04-12,20:56:54
person,0.74,0,2025-04-12,20:56:54
couch,0.34,0,2025-04-12,20:56:54
cell phone,0.84,0,2025-04-12,20:56:54
person,0.78,0,2025-04-12,20:56:54
couch,0.3,0,2025-04-12,20:56:54
person,0.26,0,2025-04-12,20:56:54
person,0.79,0,2025-04-12,20:56:54
cell phone,0.74,0,2025-04-12,20:56:54
couch,0.39,0,2025-04-12,20:56:54
cell phone,0.87,0,2025-04-12,20:56:54
person,0.72,0,2025-04-12,20:56:54
person,0.71,0,2025-04-12,20:56:54
couch,0.41,0,2025-04-12,20:56:54
cell phone,0.76,0,2025-04-12,20:56:54
person,0.71,0,2025-04-12,20:56:54
couch,0.35,0,2025-04-12,20:56:54
chair,0.27,0,2025-04-12,20:56:54
cell phone,0.8,0,2025-04-12,20:56:54
person,0.79,0,2025-04-12,20:56:54
couch,0.43,0,2025-04-12,20:56:54
cell phone,0.76,0,2025-04-12,20:56:54
person,0.66,0,2025-04-12,20:56:54
couch,0.45,0,2025-04-12,20:56:54
person,0.72,0,2025-04-12,20:56:54
cell phone,0.62,0,2025-04-12,20:56:54
couch,0.45,0,2025-04-12,20:56:54
person,0.8,0,2025-04-12,20:56:55
cell phone,0.63,0,2025-04-12,20:56:55
couch,0.47,0,2025-04-12,20:56:55
person,0.77,0,2025-04-12,20:56:55
cell phone,0.4,0,2025-04-12,20:56:55
couch,0.32,0,2025-04-12,20:56:55
person,0.82,0,2025-04-12,20:56:55
cell phone,0.55,0,2025-04-12,20:56:55
couch,0.38,0,2025-04-12,20:56:55
person,0.82,0,2025-04-12,20:56:55
